code_insee,code_postal,latitude,longitude,nom_commune,departement
59012,59186,49.9949415311,4.11785622281,ANOR,59
32132,32500,43.8402794076,0.64245586546,FLEURANCE,32
26281,26100,45.0547531985,5.03797756012,ROMANS SUR ISERE,26
29232,29000,47.9971425162,-4.09111944455,QUIMPER,29
76157,76380,49.4330992435,1.01355208279,CANTELEU,76
14258,14700,48.8957800281,-0.193401711782,FALAISE,14
40088,40100,43.7006746973,-1.06014429759,DAX,40
79202,79200,46.6453493842,-0.233028439198,PARTHENAY,79
39485,39320,46.3963208,5.4577858737,ST JULIEN,39
91457,91290,48.5814225294,2.26569127873,LA NORVILLE,91
59553,59211,50.5909879066,2.96114421951,SANTES,59
67320,67220,48.3261151153,7.31059686746,NEUVE EGLISE,67
83119,83990,43.262314383,6.66343039908,ST TROPEZ,83
38421,38400,45.1762012553,5.76476360737,ST MARTIN D HERES,38
57456,57960,48.9707983496,7.34611209492,MEISENTHAL,57
71170,71150,46.9145180669,4.84793098636,DEMIGNY,71
55198,55160,49.1009729702,5.63355600212,FRESNES EN WOEVRE,55
60361,60240,49.2330864401,1.90635269506,LIANCOURT ST PIERRE,60
41018,41000,47.5817013938,1.30625551583,BLOIS,41
54431,54700,48.9219828048,6.05392690748,PONT A MOUSSON,54
01157,1480,46.020997974,4.7620080898,FAREINS,1
66088,66130,42.6774223178,2.61639804475,ILLE SUR TET,66
25056,25000,47.2553872249,6.01948696494,BESANCON,25
48039,48230,44.4502200567,3.34457977647,CHANAC,48
71543,71700,46.5651726015,4.90012429206,TOURNUS,71
29031,29360,47.7943407144,-3.56681364982,CLOHARS CARNOET,29
61464,61500,48.6048296774,0.169026415284,SEES,61
35093,35800,48.6241805945,-2.0619828606,DINARD,35
60157,60600,49.3777168975,2.40891709196,CLERMONT DE L OISE,60
58194,58000,46.9881194908,3.15689130958,NEVERS,58
30140,30460,44.0428979358,3.85182045128,LASALLE,30
35360,35500,48.1140815063,-1.19370720718,VITRE,35
91103,91220,48.6025113399,2.3021623232,BRETIGNY SUR ORGE,91
17197,17500,45.4419827405,-0.427614839205,JONZAC,17
26362,26000,44.9229811667,4.91444013136,VALENCE,26
19272,19000,45.2731516999,1.76313875655,TULLE,19
49307,49800,47.4219645317,-0.319673646947,ANDARD,49
44077,44440,47.5092437538,-1.42943494948,JOUE SUR ERDRE,44
54157,54380,48.8340364411,6.05567802778,DIEULOUARD,54
25395,25660,47.2418571296,6.08660837587,MONTFAUCON,25
46118,46600,44.9899523314,1.46272754104,GIGNAC,46
45075,45380,47.8887063362,1.82847184827,LA CHAPELLE ST MESMIN,45
31091,31150,43.7271508931,1.40915818124,BRUGUIERES,31
81115,81270,43.4826602247,2.63557921234,LABASTIDE ROUAIROUX,81
05061,5000,44.5798600596,6.06486052138,GAP,5
79195,79250,46.9403172404,-0.596385417876,NUEIL LES AUBIERS,79
26114,26220,44.5310329912,5.06528375642,DIEULEFIT,26
52448,52100,48.6280100668,4.94923523578,ST DIZIER,52
24345,24140,44.9151488173,0.532361895474,QUEYSSAC,24
44055,44500,47.2909720179,-2.3538291745,LA BAULE,44
66017,66420,42.8127710984,3.02834125149,LE BARCARES,66
30028,30200,44.1622496736,4.62477380854,BAGNOLS SUR CEZE,30
78640,78140,48.783985823,2.19707485523,VELIZY VILLACOUBLAY,78
38053,38300,45.6022027954,5.27393762111,BOURGOIN JALLIEU,38
78146,78400,48.8965574645,2.15393458329,CHATOU,78
91363,91460,48.6463321888,2.20621393661,MARCOUSSIS,91
93055,93500,48.8983093876,2.40872147475,PANTIN,93
38563,38500,45.3791720843,5.58240310671,VOIRON,38
56061,56200,47.7728317091,-2.15651114837,LA GACILLY,56
94022,94600,48.764315118,2.41742518222,CHOISY LE ROI,94
67462,67600,48.2481136279,7.46224896454,SELESTAT,67
59043,59270,50.7274252798,2.7379912081,BAILLEUL,59
83045,83570,43.4864185627,6.06826217623,CORRENS,83
85191,85000,46.6675261644,-1.4077954093,LA ROCHE SUR YON,85
88160,88000,48.1631202656,6.47989286928,EPINAL,88
07204,7320,45.0052980637,4.41285687419,ST AGREVE,7
44143,44400,47.1762338904,-1.54966399893,REZE,44
64102,64100,43.4922254016,-1.46607674358,BAYONNE,64
17306,17200,45.6346574238,-1.01791403375,ROYAN,17
