codeINSEE,communeINSEE,codePostal,latitude,longitude,departement
33029,LE BARP,33114,44.6268462922,-0.746697894211,33
13084,LA ROQUE D ANTHERON,13640,43.7176409517,5.30157633559,13
72180,MAMERS,72600,48.3545313197,0.370783494811,72
37003,AMBOISE,37400,47.3917237652,1.00023994675,37
10362,STE SAVINE,10300,48.2963408998,4.02333022061,10
84025,CABRIERES D AVIGNON,84220,43.8965322686,5.15279801626,84
51183,COURCY,51220,49.3196081983,4.0061261454,51
07349,LA VOULTE SUR RHONE,7800,44.8015403943,4.78018830634,7
30007,ALES,30100,44.1250099126,4.08828501262,30
92023,CLAMART,92140,48.7964306792,2.25474652922,92
71270,MACON,71000,46.3205511756,4.81842529639,71
26108,CREST,26400,44.7335665907,5.0221758413,26
04065,CRUIS,4230,44.0831626991,5.83846949092,4
07281,ST PERAY,7130,44.9410716967,4.82459034307,7
01443,VILLARS LES DOMBES,1330,45.9927150222,5.04507856642,1
87085,LIMOGES,87280,45.8542549589,1.2487579024,87
59012,ANOR,59186,49.9949415311,4.11785622281,59
32132,FLEURANCE,32500,43.8402794076,0.64245586546,32
26281,ROMANS SUR ISERE,26100,45.0547531985,5.03797756012,26
29232,QUIMPER,29000,47.9971425162,-4.09111944455,29
76157,CANTELEU,76380,49.4330992435,1.01355208279,76
14258,FALAISE,14700,48.8957800281,-0.193401711782,14
40088,DAX,40100,43.7006746973,-1.06014429759,40
79202,PARTHENAY,79200,46.6453493842,-0.233028439198,79
39485,ST JULIEN,39320,46.3963208,5.4577858737,39
91457,LA NORVILLE,91290,48.5814225294,2.26569127873,91
06004,ANTIBES,6160,43.587465146,7.10635418256,6
59553,SANTES,59211,50.5909879066,2.96114421951,59
67320,NEUVE EGLISE,67220,48.3261151153,7.31059686746,67
83119,ST TROPEZ,83990,43.262314383,6.66343039908,83
38421,ST MARTIN D HERES,38400,45.1762012553,5.76476360737,38
57456,MEISENTHAL,57960,48.9707983496,7.34611209492,57
71170,DEMIGNY,71150,46.9145180669,4.84793098636,71
55198,FRESNES EN WOEVRE,55160,49.1009729702,5.63355600212,55
60361,LIANCOURT ST PIERRE,60240,49.2330864401,1.90635269506,60
41018,BLOIS,41000,47.5817013938,1.30625551583,41
54431,PONT A MOUSSON,54700,48.9219828048,6.05392690748,54
01157,FAREINS,1480,46.020997974,4.7620080898,1
66088,ILLE SUR TET,66130,42.6774223178,2.61639804475,66
